Epoch,Machine Training,Discriminator Loss,Generator Loss,FPR,Recall,Median Wasserstein,Mean Wasserstein
322,Discriminator,0.58935,0.87542,0.15385,0.53846,0.38109,0.41236
323,Discriminator,0.61459,0.91592,0.19231,0.53846,0.35137,0.34821
324,Generator,0.61459,0.80432,0.19231,0.42308,0.28817,0.31351
325,Generator,0.61459,0.76613,0.30769,0.57692,0.47619,0.49992
326,Discriminator,0.67158,0.82302,0.26923,0.38462,0.29639,0.30711
327,Discriminator,0.65608,0.83253,0.30769,0.38462,0.30342,0.31904
328,Discriminator,0.63487,0.82653,0.19231,0.42308,0.43907,0.45753
329,Discriminator,0.63575,0.82134,0.30769,0.50000,0.40904,0.40728
330,Discriminator,0.61409,0.83937,0.15385,0.61538,0.38266,0.39769
331,Generator,0.61409,0.82231,0.30769,0.50000,0.32201,0.32866
332,Generator,0.61409,0.76655,0.34615,0.53846,0.33973,0.33277
333,Discriminator,0.66703,0.81782,0.42308,0.50000,0.33152,0.33400
334,Discriminator,0.61997,0.81200,0.23077,0.34615,0.34876,0.35289
335,Discriminator,0.62614,0.79866,0.34615,0.50000,0.31871,0.32609
336,Discriminator,0.65361,0.86083,0.34615,0.38462,0.30556,0.32113
337,Discriminator,0.61843,0.85738,0.15385,0.53846,0.30347,0.31616
338,Generator,0.61843,0.83125,0.34615,0.50000,0.31604,0.34894
339,Generator,0.61843,0.76273,0.30769,0.57692,0.41243,0.43128
340,Discriminator,0.65231,0.79199,0.38462,0.53846,0.50622,0.51849
341,Discriminator,0.59695,0.76332,0.26923,0.73077,0.41937,0.45656
342,Discriminator,0.63786,0.78155,0.15385,0.61538,0.63814,0.62436
343,Discriminator,0.64041,0.82589,0.34615,0.57692,0.30497,0.31036
344,Discriminator,0.63401,0.83055,0.23077,0.57692,0.36773,0.36685
345,Generator,0.63401,0.84960,0.34615,0.65385,0.36089,0.35688
346,Generator,0.63401,0.79766,0.30769,0.73077,0.33718,0.34119
347,Discriminator,0.63621,0.78435,0.38462,0.65385,0.46870,0.46243
348,Discriminator,0.62886,0.77573,0.34615,0.61538,0.46054,0.49225
349,Discriminator,0.67287,0.80541,0.26923,0.53846,0.29288,0.30169
350,Discriminator,0.65574,0.82731,0.26923,0.57692,0.30722,0.31317
351,Discriminator,0.63223,0.84741,0.26923,0.42308,0.38463,0.38142
352,Generator,0.63223,0.74554,0.11538,0.50000,0.33214,0.32726
353,Generator,0.63223,0.79947,0.50000,0.53846,0.39990,0.39702
354,Discriminator,0.66679,0.78074,0.30769,0.50000,0.35673,0.38117
355,Discriminator,0.66951,0.80626,0.26923,0.53846,0.29791,0.31540
356,Discriminator,0.64784,0.76803,0.34615,0.50000,0.39043,0.35764
357,Discriminator,0.64314,0.86321,0.26923,0.42308,0.29814,0.31505
358,Discriminator,0.60205,0.84509,0.34615,0.53846,0.36253,0.35807
359,Generator,0.60205,0.82876,0.26923,0.57692,0.44508,0.42764
360,Generator,0.60205,0.76425,0.53846,0.53846,0.36144,0.37698
361,Discriminator,0.62772,0.74790,0.46154,0.65385,0.44438,0.46596
362,Discriminator,0.63667,0.74823,0.38462,0.42308,0.39073,0.41095
363,Discriminator,0.61893,0.81210,0.42308,0.50000,0.36100,0.37464
364,Discriminator,0.63094,0.81313,0.34615,0.69231,0.34948,0.35885
365,Discriminator,0.61889,0.81905,0.30769,0.69231,0.34578,0.36999
366,Generator,0.61889,0.79199,0.38462,0.46154,0.31575,0.31010
